,recipe_id,original_frames,dropped_frames
106,dish_1559590157,28,3
107,dish_1563222830,28,2
108,dish_1566588016,28,14
109,dish_1562775356,28,21
110,dish_1567023184,34,15
111,dish_1563910708,33,7
112,dish_1551141628,114,28
113,dish_1565797671,31,13
114,dish_1573679099,28,14
115,dish_1550863155,115,20
116,dish_1561737293,30,1
117,dish_1566501012,28,14
118,dish_1558719066,12,2
119,dish_1566414862,35,12
120,dish_1560543605,24,3
121,dish_1551222935,115,28
122,dish_1551488103,116,20
123,dish_1551378719,114,40
124,dish_1558723982,12,0
125,dish_1550859396,116,37
126,dish_1563820834,31,6
127,dish_1558641075,12,3
128,dish_1551124267,128,32
129,dish_1558026714,28,14
130,dish_1551228971,136,4
131,dish_1558631932,18,1
132,dish_1558640705,18,5
133,dish_1568056217,34,12
134,dish_1550771707,118,12
135,dish_1550707914,116,22
136,dish_1551487472,116,30
137,dish_1551567805,115,21
138,dish_1558030383,32,14
139,dish_1551394781,115,44
140,dish_1562790295,28,0
141,dish_1558723475,12,1
142,dish_1557853154,104,92
143,dish_1559844490,28,10
144,dish_1551235270,115,18
145,dish_1561579576,28,0
146,dish_1561494001,28,3
147,dish_1560356337,28,5
148,dish_1559675234,28,1
149,dish_1572548822,28,20
150,dish_1562958563,31,5
151,dish_1550778856,115,60
152,dish_1560367153,28,6
153,dish_1566502505,33,16
154,dish_1551378344,115,43
155,dish_1558628339,18,3
156,dish_1559841091,28,8
157,dish_1562698132,28,13
158,dish_1563553735,31,13
159,dish_1550708875,117,28
160,dish_1551304155,121,42
161,dish_1565107066,36,9
162,dish_1563391959,31,8
163,dish_1562704640,55,33
164,dish_1560543625,25,3
165,dish_1565809120,34,10
166,dish_1551391438,122,66
167,dish_1561665626,30,21
168,dish_1551141892,120,21
169,dish_1558458903,28,18
170,dish_1568400967,31,12
171,dish_1563216717,35,1
172,dish_1551381285,116,46
173,dish_1567007751,37,4
174,dish_1573666680,28,24
175,dish_1551394874,115,29
176,dish_1563820806,32,6
177,dish_1551565495,124,26
178,dish_1568143288,34,19
179,dish_1551305410,117,36
180,dish_1563567599,29,1
181,dish_1566499564,31,19
182,dish_1551306339,116,39
183,dish_1562602627,28,11
184,dish_1551233248,118,64
185,dish_1560974769,26,7
186,dish_1551564907,117,35
187,dish_1558461431,32,18
188,dish_1563998244,29,5
189,dish_1551303984,115,31
190,dish_1562774129,28,2
191,dish_1551565068,116,83
192,dish_1562774504,32,9
193,dish_1562788536,29,2
194,dish_1567789256,31,14
195,dish_1562686548,28,8
196,dish_1551136769,117,31
197,dish_1563221086,29,5
198,dish_1558375667,32,17
199,dish_1564000202,29,7
200,dish_1563480476,31,7
201,dish_1567542914,33,13
202,dish_1560455343,28,8
203,dish_1562168673,29,4
204,dish_1559849466,28,14
205,dish_1559240908,24,8
206,dish_1563208459,28,4
207,dish_1551227280,118,25
208,dish_1561996401,27,6
209,dish_1561578323,28,6
210,dish_1558373008,32,20
211,dish_1565638323,31,7
212,dish_1564000490,28,9
213,dish_1563308428,31,14
214,dish_1563984242,30,7
215,dish_1562085672,28,6
216,dish_1563550976,31,8
217,dish_1565724235,36,9
218,dish_1558113304,36,6
219,dish_1565036865,39,16
220,dish_1550860444,114,10
221,dish_1551564176,115,30
222,dish_1565207727,31,11
223,dish_1562862550,30,0
224,dish_1563813360,39,12
225,dish_1562963517,35,1
226,dish_1550771387,115,39
227,dish_1568314951,32,9
228,dish_1551565529,115,34
229,dish_1563379494,39,9
230,dish_1566844850,32,2
231,dish_1563207406,28,9
232,dish_1558723537,12,1
233,dish_1551567731,116,32
234,dish_1567612986,30,12
235,dish_1551222833,115,10
236,dish_1572035321,28,19
237,dish_1563908923,37,8
238,dish_1562787848,29,4
239,dish_1568320338,29,22
240,dish_1565032714,30,8
241,dish_1565728388,31,14
242,dish_1556575014,139,56
243,dish_1563378406,40,12
244,dish_1551394835,114,51
245,dish_1561999309,36,8
246,dish_1560456833,28,3
247,dish_1565194852,29,8
248,dish_1558109511,24,2
249,dish_1551490503,115,12
250,dish_1558724891,12,3
251,dish_1568143612,36,15
252,dish_1562169818,28,4
253,dish_1558113430,32,15
254,dish_1550710402,116,49
255,dish_1563568025,28,19
256,dish_1550711129,115,21
257,dish_1550774244,116,64
258,dish_1551233708,128,56
259,dish_1563295016,32,18
260,dish_1562874203,31,6
261,dish_1563475953,31,8
262,dish_1551233007,117,18
263,dish_1551223311,115,30
264,dish_1562602657,28,12
265,dish_1563393341,28,7
266,dish_1566502573,31,16
267,dish_1563378435,40,10
268,dish_1550771938,116,29
269,dish_1551380910,116,43
270,dish_1551233859,117,49
271,dish_1559678104,27,3
272,dish_1551567004,116,16
273,dish_1565724050,35,7
274,dish_1566416421,37,19
275,dish_1561662022,32,3
276,dish_1565637162,29,7
277,dish_1566246626,37,4
278,dish_1551237321,124,63
279,dish_1563295292,72,19
280,dish_1558632959,18,1
281,dish_1562010891,29,10
282,dish_1562009120,28,6
283,dish_1551399402,115,31
284,dish_1551234106,118,20
285,dish_1567106870,34,17
286,dish_1560801773,25,13
287,dish_1551488137,116,53
288,dish_1550710612,125,44
289,dish_1568318316,32,14
290,dish_1551235669,113,56
291,dish_1560441487,28,2
292,dish_1565725188,32,14
293,dish_1568666263,30,10
294,dish_1567106825,29,15
295,dish_1566502033,30,16
296,dish_1559245340,25,4
297,dish_1559845290,28,5
298,dish_1573851578,28,16
299,dish_1551379162,117,49
300,dish_1562611853,28,8
301,dish_1563555543,32,10
302,dish_1562950057,28,4
303,dish_1550771267,115,20
304,dish_1551135896,125,37
305,dish_1563217736,34,3
306,dish_1562603842,28,12
307,dish_1567625434,37,14
308,dish_1559240510,24,6
309,dish_1566333228,29,2
310,dish_1566590536,29,18
311,dish_1574728229,29,3
312,dish_1562097001,28,4
313,dish_1551392519,115,54
314,dish_1563389548,28,9
315,dish_1550772617,118,37
316,dish_1563391413,29,6
317,dish_1559846825,28,22
318,dish_1558372771,34,5
319,dish_1551318603,118,29
320,dish_1563305513,35,10
321,dish_1561576074,31,5
322,dish_1572031254,30,17
323,dish_1560366963,28,6
324,dish_1561392459,24,3
325,dish_1559678127,26,4
326,dish_1572464354,29,14
327,dish_1565036788,35,15
328,dish_1558721980,12,4
329,dish_1563897439,37,15
330,dish_1551227380,114,24
331,dish_1562777566,30,8
332,dish_1562947376,31,1
333,dish_1551223346,115,35
334,dish_1576183111,28,21
335,dish_1561752563,30,7
336,dish_1562702853,28,10
337,dish_1551490544,117,12
338,dish_1561146758,21,7
339,dish_1560961261,30,9
340,dish_1558462106,36,19
341,dish_1567525637,29,14
342,dish_1550875968,127,58
343,dish_1551224283,115,25
344,dish_1567789190,33,16
345,dish_1551492318,114,30
346,dish_1551565752,116,80
347,dish_1561739719,29,2
348,dish_1560874548,28,12
349,dish_1551224928,115,45
350,dish_1568316041,32,14
351,dish_1551142128,116,10
352,dish_1559844479,28,9
353,dish_1562691674,28,8
354,dish_1565811000,32,7
355,dish_1574702473,29,13
356,dish_1563898786,34,4
357,dish_1551399031,116,43
358,dish_1560456370,28,7
359,dish_1573665025,28,15
360,dish_1551566356,117,36
361,dish_1567785130,20,19
362,dish_1551139874,121,38
363,dish_1562700685,28,14
364,dish_1560799368,31,16
365,dish_1562007817,28,4
366,dish_1558719145,12,2
367,dish_1550708366,113,18
368,dish_1558031019,32,0
369,dish_1565797723,29,7
370,dish_1564169878,29,1
371,dish_1551323035,116,40
372,dish_1550710318,115,25
373,dish_1551321757,118,35
374,dish_1573764136,28,20
375,dish_1563984771,28,0
376,dish_1550777791,116,22
377,dish_1559932674,28,8
378,dish_1550779219,117,30
379,dish_1550773591,113,24
380,dish_1565378731,36,11
381,dish_1558724853,12,4
382,dish_1560453380,28,7
383,dish_1568666329,29,5
384,dish_1551221801,115,37
385,dish_1550708638,114,16
386,dish_1565898128,28,4
387,dish_1564000459,33,12
388,dish_1551222982,118,13
389,dish_1566502437,29,15
390,dish_1561662458,28,6
391,dish_1566849955,32,5
392,dish_1565981848,30,0
393,dish_1558372948,32,21
394,dish_1558379876,31,1
395,dish_1550796330,120,48
396,dish_1550789321,117,13
397,dish_1574455444,28,19
398,dish_1551307258,117,40
399,dish_1560455380,28,10
400,dish_1561662562,28,6
401,dish_1567110756,36,23
402,dish_1564073860,34,21
403,dish_1563822636,37,6
404,dish_1551307361,114,31
405,dish_1551564423,115,35
406,dish_1550712459,116,18
407,dish_1561492204,29,10
408,dish_1568320427,31,15
409,dish_1566328831,34,8
410,dish_1559841781,28,8
411,dish_1561737248,29,0
412,dish_1563219035,34,7
413,dish_1551567230,116,12
414,dish_1550793485,120,70
415,dish_1562010440,28,3
416,dish_1551377473,126,20
417,dish_1566587143,34,17
418,dish_1561664061,28,4
419,dish_1565813386,32,15
420,dish_1558630814,18,3
421,dish_1561753371,31,10
422,dish_1558722780,12,1
423,dish_1564086658,31,9
424,dish_1551304854,115,30
425,dish_1567537352,29,7
426,dish_1568147009,38,10
427,dish_1563479625,31,6
428,dish_1551222225,116,56
429,dish_1551492287,116,36
430,dish_1563302315,28,11
431,dish_1551491297,116,28
432,dish_1560443437,28,6
433,dish_1563812535,36,13
434,dish_1566587182,28,14
435,dish_1551303912,114,46
436,dish_1551489931,116,73
437,dish_1567110783,28,13
438,dish_1559235690,25,1
439,dish_1562872182,32,9
440,dish_1566242234,34,9
441,dish_1562700760,29,13
442,dish_1563986062,34,2
443,dish_1560368570,28,9
444,dish_1551566781,113,9
445,dish_1561576916,28,9
446,dish_1562875940,40,4
447,dish_1551233802,116,44
448,dish_1551389506,119,27
449,dish_1558641253,12,7
450,dish_1561061123,27,5
451,dish_1560360148,28,4
452,dish_1558115320,36,24
453,dish_1572889151,28,22
454,dish_1576258657,29,15
455,dish_1568666303,33,4
456,dish_1561663035,24,7
457,dish_1550875400,118,12
458,dish_1558718587,12,6
459,dish_1551374982,115,34
460,dish_1561405356,28,4
461,dish_1567801748,28,7
462,dish_1561491210,28,6
463,dish_1558723960,12,2
464,dish_1561662532,33,8
465,dish_1561145732,23,2
466,dish_1561997365,27,10
467,dish_1550874153,115,66
468,dish_1563309237,31,12
469,dish_1563220143,29,2
470,dish_1563898019,28,0
471,dish_1562945499,33,2
472,dish_1551314810,114,74
473,dish_1550770699,117,39
474,dish_1563477701,31,8
475,dish_1558722906,12,1
476,dish_1566242273,38,7
477,dish_1551492056,116,28
478,dish_1563568338,30,5
479,dish_1562872914,32,12
480,dish_1550774296,115,16
481,dish_1550788505,114,17
482,dish_1561996836,27,1
483,dish_1565637548,35,12
484,dish_1558629677,18,5
485,dish_1559667973,28,3
486,dish_1562775510,28,11
487,dish_1565808975,29,13
488,dish_1563392128,28,14
489,dish_1562613285,28,7
490,dish_1559842374,28,7
491,dish_1572540934,29,14
492,dish_1551377052,114,35
493,dish_1573073666,29,14
494,dish_1565118096,31,8
495,dish_1562172643,28,1
496,dish_1563481061,30,3
497,dish_1550862908,115,36
498,dish_1561997299,25,10
499,dish_1562617703,29,26
500,dish_1558640979,12,2
501,dish_1551228876,117,32
502,dish_1563468269,31,10
503,dish_1572464329,28,22
504,dish_1565726848,32,3
505,dish_1563898880,29,0
506,dish_1566500963,28,14
507,dish_1551306958,115,54
508,dish_1565107171,31,8
509,dish_1558640614,18,7
510,dish_1551563853,114,38
511,dish_1563208412,29,4
512,dish_1559845513,28,11
513,dish_1567007814,36,10
514,dish_1550785526,114,22
515,dish_1551237854,115,21
516,dish_1567613019,33,14
517,dish_1551306860,116,32
518,dish_1562181285,28,3
519,dish_1558116547,33,20
520,dish_1566329021,35,5
521,dish_1562010821,31,8
522,dish_1559235815,24,3
523,dish_1567024224,29,7
524,dish_1551138110,117,40
525,dish_1563479526,30,3
526,dish_1562183096,31,7
527,dish_1561752535,31,3
528,dish_1564086624,31,12
529,dish_1562173267,28,4
530,dish_1558641320,12,4
531,dish_1558457415,28,21
532,dish_1559674689,28,3
533,dish_1565207631,32,12
534,dish_1562688382,28,13
535,dish_1566587102,28,15
536,dish_1558640563,18,4
537,dish_1565809080,30,13
538,dish_1558722370,12,0
539,dish_1576171204,29,22
540,dish_1565724087,32,11
541,dish_1572291671,31,22
542,dish_1568061174,30,12
543,dish_1558633158,18,0
544,dish_1558463362,32,15
545,dish_1560441311,28,5
546,dish_1562702892,483,462
547,dish_1575393132,28,10
548,dish_1567021799,32,23
549,dish_1564170173,28,10
550,dish_1558628760,18,2
551,dish_1558632990,18,0
552,dish_1558640238,18,1
553,dish_1560369102,28,6
554,dish_1566328961,31,5
555,dish_1550710845,116,41
556,dish_1568145177,37,0
557,dish_1561996369,24,7
558,dish_1566851549,34,13
559,dish_1560356523,28,7
560,dish_1558722322,12,2
561,dish_1551233345,114,47
562,dish_1566931674,28,11
563,dish_1566850142,32,3
564,dish_1568144925,41,8
565,dish_1560444592,28,3
566,dish_1566415591,31,15
567,dish_1561752996,34,8
568,dish_1566592456,31,12
569,dish_1566246478,38,5
570,dish_1563309398,33,3
571,dish_1560527105,27,2
572,dish_1568649354,29,12
573,dish_1561999706,36,4
574,dish_1559844030,28,21
575,dish_1568401261,34,8
576,dish_1562785132,30,9
577,dish_1558719570,12,5
578,dish_1551314442,115,73
579,dish_1565987054,30,9
580,dish_1565637608,31,10
581,dish_1563216381,29,1
582,dish_1568664931,31,12
583,dish_1558632198,18,0
584,dish_1551391257,115,51
585,dish_1572021459,28,26
586,dish_1550772849,116,14
587,dish_1572376754,28,18
588,dish_1558629398,18,0
589,dish_1562086501,28,5
590,dish_1551377388,115,40
591,dish_1558546663,34,9
592,dish_1573073699,32,13
593,dish_1559934708,28,11
594,dish_1559245589,26,6
595,dish_1562702091,28,7
596,dish_1558718009,12,5
597,dish_1558457577,28,18
598,dish_1562700957,28,7
599,dish_1558029230,34,4
600,dish_1561663914,30,1
601,dish_1558031628,36,2
602,dish_1563565289,32,19
603,dish_1551122871,116,13
604,dish_1560888817,28,4
605,dish_1565727921,29,4
606,dish_1551123455,115,38
607,dish_1565727765,34,4
608,dish_1550771796,118,31
609,dish_1551378291,114,29
610,dish_1571934465,28,24
611,dish_1571931809,40,22
612,dish_1551382060,115,34
613,dish_1562959295,29,13
614,dish_1568056019,34,15
615,dish_1551323866,159,85
616,dish_1558116146,35,24
617,dish_1551566499,122,28
618,dish_1560799590,24,8
619,dish_1560961385,24,2
620,dish_1559590202,28,4
621,dish_1561575996,28,7
622,dish_1550875058,116,17
623,dish_1562963033,34,2
624,dish_1562602832,28,9
625,dish_1560799615,28,6
626,dish_1558722665,12,2
627,dish_1551222188,116,18
628,dish_1551378151,114,13
629,dish_1558029148,33,4
630,dish_1563389626,31,14
631,dish_1565030391,32,8
632,dish_1560799113,154,113
633,dish_1558724932,12,0
634,dish_1558110245,24,16
635,dish_1561578676,31,1
636,dish_1550793023,115,35
637,dish_1565204891,31,10
638,dish_1551123396,115,42
639,dish_1551379605,115,28
640,dish_1562872945,34,10
641,dish_1561405389,28,5
642,dish_1559578579,18,2
643,dish_1562169840,28,3
644,dish_1551493680,114,53
645,dish_1550710715,115,52
646,dish_1562873838,26,1
647,dish_1561663606,31,7
648,dish_1561576590,28,3
649,dish_1561737776,29,6
650,dish_1559235639,26,2
651,dish_1561491154,28,6
652,dish_1566499633,32,18
653,dish_1561577678,28,8
654,dish_1550788957,118,36
655,dish_1558723123,12,1
656,dish_1550793300,114,32
657,dish_1560787696,28,14
658,dish_1551322577,114,40
659,dish_1551236827,116,25
660,dish_1550773038,118,26
661,dish_1562958445,31,7
662,dish_1551565379,115,73
663,dish_1551314967,116,38
664,dish_1551565845,117,42
665,dish_1563986093,34,1
666,dish_1568217372,39,20
667,dish_1561392632,28,0
668,dish_1550796152,116,31
669,dish_1558380527,28,20
670,dish_1560442226,28,4
671,dish_1561481577,28,9
672,dish_1560441464,28,4
673,dish_1551373813,140,46
674,dish_1550788191,117,25
675,dish_1565118782,29,9
676,dish_1558720133,12,3
677,dish_1561575688,28,4
678,dish_1567785654,20,10
679,dish_1558114086,29,23
680,dish_1551381365,114,58
681,dish_1563910530,35,8
682,dish_1558379391,32,1
683,dish_1565721800,31,6
684,dish_1575999037,30,15
685,dish_1551486217,116,77
686,dish_1565640195,29,9
687,dish_1562094730,29,5
688,dish_1551322714,115,34
689,dish_1568400935,38,11
690,dish_1551392557,114,34
691,dish_1558027001,28,4
692,dish_1562785369,29,8
693,dish_1558719040,12,0
694,dish_1551317743,124,49
695,dish_1565894910,28,3
696,dish_1551139576,117,10
697,dish_1565637123,31,8
698,dish_1551135415,115,24
699,dish_1563813833,31,4
700,dish_1558639089,18,2
701,dish_1563295400,28,6
702,dish_1562008979,31,2
703,dish_1567020091,31,11
704,dish_1560357427,28,25
705,dish_1551493823,116,26
706,dish_1558116298,34,7
707,dish_1567107839,32,9
708,dish_1560366460,28,9
709,dish_1550706583,114,22
710,dish_1551139606,116,21
711,dish_1551124362,116,25
712,dish_1551377782,118,34
713,dish_1568061145,34,18
714,dish_1559158425,27,4
715,dish_1562173742,33,14
716,dish_1551314254,114,18
717,dish_1550713065,116,20
718,dish_1550772892,116,19
719,dish_1559842136,31,14
720,dish_1568319899,32,16
721,dish_1561661806,31,7
722,dish_1563217804,34,8
723,dish_1561748274,31,7
724,dish_1551375747,114,19
725,dish_1558462228,35,27
726,dish_1550791214,126,51
727,dish_1560444892,28,7
728,dish_1563555160,28,7
729,dish_1565987015,31,16
730,dish_1562615360,28,7
731,dish_1566851584,34,9
732,dish_1551566687,179,66
733,dish_1572988741,30,22
734,dish_1551381173,123,66
735,dish_1551388984,116,42
736,dish_1561737200,31,5
737,dish_1565034234,32,12
738,dish_1550791160,117,46
739,dish_1562011727,28,7
740,dish_1550771191,114,92
741,dish_1565109606,32,10
742,dish_1565118729,30,7
743,dish_1562614921,31,9
744,dish_1551141670,116,25
745,dish_1560526490,25,9
746,dish_1563567978,29,12
747,dish_1559332795,21,9
748,dish_1560541680,24,1
749,dish_1551490670,116,31
750,dish_1563306392,28,10
751,dish_1559060106,18,0
752,dish_1567106693,28,8
753,dish_1568405405,30,2
754,dish_1551375411,117,53
755,dish_1562698239,38,17
756,dish_1567785709,17,7
757,dish_1550861950,116,16
758,dish_1551222587,117,13
759,dish_1562872746,35,6
760,dish_1561662948,115,69
761,dish_1558640808,18,4
762,dish_1567023375,36,18
763,dish_1563218408,28,8
764,dish_1563827454,37,15
765,dish_1558721700,12,2
766,dish_1565972674,31,6
767,dish_1558638896,18,0
768,dish_1560874667,24,5
769,dish_1550779282,117,40
770,dish_1565711527,31,7
771,dish_1565370004,31,6
772,dish_1558628888,18,4
773,dish_1562617470,28,7
774,dish_1551486571,116,41
775,dish_1563304925,28,7
776,dish_1551486158,115,37
777,dish_1550860631,114,79
778,dish_1561577598,28,5
779,dish_1565119739,28,7
780,dish_1562961588,33,14
781,dish_1551307394,119,22
782,dish_1558640418,18,5
783,dish_1565194684,28,15
784,dish_1550873952,117,29
785,dish_1561481673,28,1
786,dish_1565895879,33,11
787,dish_1551374222,121,38
788,dish_1562172600,28,4
789,dish_1566936297,35,15
790,dish_1551234185,116,100
791,dish_1558636544,18,0
792,dish_1561492519,27,25
793,dish_1551323969,117,34
794,dish_1561060976,27,10
795,dish_1560527140,25,9
796,dish_1558632080,18,0
797,dish_1567542843,32,14
798,dish_1559593646,28,3
799,dish_1567801791,35,11
800,dish_1562702412,28,7
801,dish_1550873572,116,72
802,dish_1559243887,25,2
803,dish_1558719994,12,1
804,dish_1565721855,34,7
805,dish_1551235600,116,31
806,dish_1571932375,28,24
807,dish_1551123023,114,34
808,dish_1563216440,30,7
809,dish_1562959517,30,1
810,dish_1551375650,115,37
811,dish_1558376437,32,22
812,dish_1550710342,116,30
813,dish_1551318504,122,24
814,dish_1565117463,31,8
815,dish_1566402197,28,10
816,dish_1563824279,33,9
817,dish_1550708440,114,46
818,dish_1562698209,31,19
819,dish_1564170010,35,7
820,dish_1562945779,29,5
821,dish_1563476646,32,16
822,dish_1551566524,116,37
823,dish_1558115867,33,22
824,dish_1558718051,12,2
825,dish_1565208562,34,11
826,dish_1561404956,28,5
827,dish_1573851651,35,15
828,dish_1551389749,115,25
829,dish_1558027243,32,3
830,dish_1551374527,116,52
831,dish_1551565168,120,37
832,dish_1565207662,33,16
833,dish_1565711453,29,4
834,dish_1550710448,119,46
835,dish_1566838286,29,9
836,dish_1560369122,30,5
837,dish_1563378051,40,15
838,dish_1562085163,28,6
839,dish_1565728684,28,7
840,dish_1551322755,121,40
841,dish_1563811515,31,6
842,dish_1551234288,115,23
843,dish_1558115364,32,1
844,dish_1551222068,116,15
845,dish_1571932398,29,23
846,dish_1560360102,28,4
847,dish_1561579902,28,0
848,dish_1562871537,29,3
849,dish_1551389588,115,17
850,dish_1566850031,36,8
851,dish_1551307090,116,19
852,dish_1561392512,30,6
853,dish_1563566725,29,8
854,dish_1565382833,30,8
855,dish_1551492348,114,21
856,dish_1562861103,28,3
857,dish_1559844506,28,10
858,dish_1550797169,117,24
859,dish_1561148042,21,5
860,dish_1562700593,28,7
861,dish_1563308386,28,11
862,dish_1551222472,116,71
863,dish_1565711358,30,4
864,dish_1568315088,30,16
865,dish_1558373449,28,19
866,dish_1566501126,32,16
867,dish_1551224175,116,18
868,dish_1551306691,116,32
869,dish_1566937992,34,11
870,dish_1560889008,28,4
871,dish_1566849233,33,10
872,dish_1551317508,115,42
873,dish_1565035858,35,9
874,dish_1563479568,29,4
875,dish_1550873303,116,30
876,dish_1563996509,28,0
877,dish_1566333255,32,1
878,dish_1563555126,44,12
879,dish_1562775549,31,11
880,dish_1551494147,115,48
881,dish_1565897680,32,7
882,dish_1550705623,114,19
883,dish_1550705786,116,13
884,dish_1558721904,12,4
885,dish_1551136043,116,86
886,dish_1561574368,28,3
887,dish_1565725244,31,7
888,dish_1564170967,36,4
889,dish_1558632130,18,1
890,dish_1561578839,29,2
891,dish_1550788827,114,59
892,dish_1550777511,116,25
893,dish_1559843185,28,15
894,dish_1560453412,28,2
895,dish_1561661972,31,4
896,dish_1558632475,18,2
897,dish_1565033189,32,11
898,dish_1559149615,24,5
899,dish_1551124157,116,9
900,dish_1551227669,116,20
901,dish_1563218959,32,6
902,dish_1564159636,31,8
903,dish_1558468435,32,0
904,dish_1562086037,28,3
905,dish_1565898758,32,5
906,dish_1561580406,29,9
907,dish_1558115241,33,23
908,dish_1563294522,34,0
909,dish_1572541487,28,25
910,dish_1550795423,115,31
911,dish_1551226101,126,18
912,dish_1558641037,12,6
913,dish_1557861605,353,297
914,dish_1551379524,113,46
915,dish_1564073677,31,7
916,dish_1565898489,28,11
917,dish_1551378054,116,29
918,dish_1566931586,36,9
919,dish_1559751710,26,6
920,dish_1551566851,116,30
921,dish_1565726915,29,8
922,dish_1565798558,31,8
923,dish_1563221443,40,4
924,dish_1550777566,115,19
925,dish_1561576295,30,1
926,dish_1558113941,28,0
927,dish_1572550690,28,22
928,dish_1573072479,29,9
929,dish_1567538263,29,13
930,dish_1568318286,31,15
931,dish_1560787817,27,2
932,dish_1565382762,31,9
933,dish_1550859694,116,31
934,dish_1559934645,28,9
935,dish_1550775363,122,43
936,dish_1562008394,28,14
937,dish_1551314290,117,45
938,dish_1562617492,28,8
939,dish_1566501447,29,14
940,dish_1562876494,33,10
941,dish_1558373687,28,20
942,dish_1558725576,12,4
943,dish_1551236466,116,47
944,dish_1562963325,31,4
945,dish_1572627152,28,6
946,dish_1564160043,29,7
947,dish_1551395194,115,73
948,dish_1560444869,28,4
949,dish_1562603895,28,12
950,dish_1556575273,143,52
951,dish_1550873338,114,35
952,dish_1551489885,119,40
953,dish_1560453356,28,5
954,dish_1563555605,29,7
955,dish_1551563170,120,75
956,dish_1558379712,30,22
957,dish_1560441247,28,7
958,dish_1565030350,34,12
959,dish_1550712369,116,35
960,dish_1550861703,116,41
961,dish_1571931594,31,21
962,dish_1560539340,24,6
963,dish_1563468240,29,11
964,dish_1561662054,28,4
965,dish_1560456326,28,2
966,dish_1551391672,116,53
967,dish_1563909919,37,15
968,dish_1558636928,18,2
969,dish_1562689601,28,14
970,dish_1559668016,28,3
971,dish_1568044634,36,18
972,dish_1562704564,28,13
973,dish_1566414412,32,15
974,dish_1561578461,28,2
975,dish_1559842047,28,9
976,dish_1562959766,29,5
977,dish_1561576887,28,10
978,dish_1556575558,146,2
979,dish_1563208439,34,6
980,dish_1558640267,18,5
981,dish_1558547124,32,2
982,dish_1550710507,116,44
983,dish_1551488324,124,47
984,dish_1551232782,118,57
985,dish_1550711244,117,23
986,dish_1558549413,32,2
987,dish_1551125436,116,28
988,dish_1562700885,30,14
989,dish_1551237607,116,17
990,dish_1551122662,115,11
991,dish_1560455000,28,5
992,dish_1563563378,30,12
993,dish_1565207815,29,13
994,dish_1551493236,116,34
995,dish_1551134442,121,32
996,dish_1565194906,32,8
